Datum;Uhrzeit;ug/m
01.02.19;12:00;53,712
01.02.19;13:00;54,473
01.02.19;14:00;62,77
01.02.19;15:00;56,419
01.02.19;16:00;54,861
01.02.19;17:00;63,025
01.02.19;18:00;57,852
01.02.19;19:00;58,317
01.02.19;20:00;48,173
01.02.19;21:00;52,315
01.02.19;22:00;50,031
01.02.19;23:00;44,914
02.02.19;00:00;37,526
02.02.19;01:00;
02.02.19;02:00;33,115
02.02.19;03:00;34,252
02.02.19;04:00;31,235
02.02.19;05:00;25,778
02.02.19;06:00;27,556
02.02.19;07:00;31,785
02.02.19;08:00;37,072
02.02.19;09:00;31,624
02.02.19;10:00;33,957
02.02.19;11:00;28,052
02.02.19;12:00;44,661
02.02.19;13:00;52,125
02.02.19;14:00;36,027
02.02.19;15:00;45,715
02.02.19;16:00;33,907
02.02.19;17:00;36,026
02.02.19;18:00;30,808
02.02.19;19:00;38,32
02.02.19;20:00;37,415
02.02.19;21:00;50,237
02.02.19;22:00;43,057
02.02.19;23:00;45,921
03.02.19;00:00;50,253
03.02.19;01:00;44,725
03.02.19;02:00;
03.02.19;03:00;38,517
03.02.19;04:00;41,189
03.02.19;05:00;37,27
03.02.19;06:00;19,405
03.02.19;07:00;19,563
03.02.19;08:00;19,962
03.02.19;09:00;24,088
03.02.19;10:00;27,863
03.02.19;11:00;19,998
03.02.19;12:00;17,866
03.02.19;13:00;14,807
03.02.19;14:00;28,252
03.02.19;15:00;17,978
03.02.19;16:00;21,392
03.02.19;17:00;29,958
03.02.19;18:00;65,887
03.02.19;19:00;90,589
03.02.19;20:00;76,912
03.02.19;21:00;68,545
03.02.19;22:00;68,664
03.02.19;23:00;62,543
04.02.19;00:00;48,319
04.02.19;01:00;30,167
04.02.19;02:00;28,053
04.02.19;03:00;
04.02.19;04:00;27,953
04.02.19;05:00;31,233
04.02.19;06:00;36,972
04.02.19;07:00;41,466
04.02.19;08:00;66,179
04.02.19;09:00;62,076
04.02.19;10:00;49,639
04.02.19;11:00;58,103
04.02.19;12:00;46,287
04.02.19;13:00;44,72
04.02.19;14:00;42,734
04.02.19;15:00;50,166
04.02.19;16:00;48,414
04.02.19;17:00;48,952
04.02.19;18:00;43,807
04.02.19;19:00;40,158
04.02.19;20:00;44,968
04.02.19;21:00;34,214
04.02.19;22:00;23,879
04.02.19;23:00;24,547
05.02.19;00:00;19,799
05.02.19;01:00;13,758
05.02.19;02:00;12,863
05.02.19;03:00;12,438
05.02.19;04:00;
05.02.19;05:00;14,203
05.02.19;06:00;19,317
05.02.19;07:00;38,241
05.02.19;08:00;39,203
05.02.19;09:00;44,584
05.02.19;10:00;43,611
05.02.19;11:00;
05.02.19;12:00;46,063
05.02.19;13:00;36,65
05.02.19;14:00;41,493
05.02.19;15:00;43,174
05.02.19;16:00;49,955
05.02.19;17:00;60,635
05.02.19;18:00;63,208
05.02.19;19:00;68,932
05.02.19;20:00;48,694
05.02.19;21:00;46,47
05.02.19;22:00;39,668
05.02.19;23:00;36,906
06.02.19;00:00;29,604
06.02.19;01:00;19,048
06.02.19;02:00;25,033
06.02.19;03:00;27,152
06.02.19;04:00;31,276
06.02.19;05:00;
06.02.19;06:00;29,273
06.02.19;07:00;34,91
06.02.19;08:00;63,13
06.02.19;09:00;49,231
06.02.19;10:00;53,673
06.02.19;11:00;49,815
06.02.19;12:00;63,094
06.02.19;13:00;57,595
06.02.19;14:00;55,951
06.02.19;15:00;55,932
06.02.19;16:00;62,178
06.02.19;17:00;63,188
06.02.19;18:00;67,772
06.02.19;19:00;77,45
06.02.19;20:00;65,321
06.02.19;21:00;49,08
06.02.19;22:00;49,139
06.02.19;23:00;43,675
07.02.19;00:00;41,455
07.02.19;01:00;37,915
07.02.19;02:00;34,523
07.02.19;03:00;28,252
